#
# This file contains values for alpha in [0, 2), the parameter of
# the family of tilted CHSH operators W_{alpha}, and the minimum 
# eigenvalue of the operator 
#   T_{alpha} = K_{alpha} - s_{alpha} * W_{alpha} - mu_{alpha} * Identity,
# minimized over a discretization of [0, pi/2] x [0, pi/4].
# Here, K_{alpha}, s_{alpha} and mu_{alpha} are defined as in the 
# article.
#
# Used parameters:
# - number_of_points : 100
# - number_of_alphas : 2000
#
# 
# The first column contains values for alpha, the second the minimum
# eigenvalue of T_{alpha} over the grid.
#
# The minimum eigenvalue found over the entire grid is -1.3170890159654386e-09, which
# is achieved for alpha=1.998.
#
0.34600000000000003, -5.834120166324033e-32
0.34700000000000003, -6.377215768030536e-32
0.34800000000000003, 0.0
0.34900000000000003, -1.1387957801758523e-31
0.35000000000000003, 0.0
0.35100000000000003, 0.0
0.352, 0.0
0.353, 0.0
0.354, -2.730863144976843e-32
0.355, 0.0
0.356, 0.0
0.357, -6.2803698347351e-16
0.358, 0.0
0.359, -8.853714214119536e-32
0.36, 0.0
0.361, -2.5696610463457316e-32
0.362, -3.14018491736755e-16
0.363, 0.0
0.364, -3.140184917367551e-16
0.365, 3.14018491736755e-16
0.366, 3.140184917367551e-16
0.367, 6.2803698347351e-16
0.368, 0.0
0.369, 0.0
0.37, -6.2803698347351e-16
0.371, -2.3421331075071296e-32
0.372, 3.14018491736755e-16
0.373, 0.0
0.374, 0.0
0.375, 0.0
0.376, 0.0
0.377, 0.0
0.378, -3.1401849173675513e-16
0.379, 3.1401849173675503e-16
0.38, 0.0
0.381, 0.0
0.382, 6.280369834735101e-16
0.383, 0.0
0.384, -6.2803698347351e-16
0.385, 0.0
0.386, -2.0068628355619965e-32
0.387, -5.922763683656849e-32
0.388, 0.0
0.389, 0.0
0.39, -6.2803698347351e-16
0.391, 0.0
0.392, 6.280369834735102e-16
0.393, 6.2803698347351e-16
0.394, 3.1401849173675503e-16
0.395, 0.0
0.396, 0.0
0.397, 0.0
0.398, 3.14018491736755e-16
0.399, 0.0
0.4, 0.0
0.401, -3.14018491736755e-16
0.402, 0.0
0.403, 0.0
0.404, 1.5598108262060875e-31
0.405, 4.134180666306763e-32
0.406, 0.0
0.40700000000000003, -1.5494278355564118e-32
0.40800000000000003, 0.0
0.40900000000000003, 0.0
0.41000000000000003, 9.860761315262648e-32
0.41100000000000003, 4.198453264388232e-32
0.41200000000000003, 0.0
0.41300000000000003, -6.2803698347351e-16
0.41400000000000003, 0.0
0.41500000000000004, -3.14018491736755e-16
0.41600000000000004, -6.2803698347351e-16
0.417, 0.0
0.418, -6.90331189077187e-32
0.419, -5.577473773553066e-32
0.42, -3.14018491736755e-16
0.421, 0.0
0.422, 0.0
0.423, 0.0
0.424, 0.0
0.425, 0.0
0.426, 0.0
0.427, 0.0
0.428, 0.0
0.429, 0.0
0.43, 3.140184917367551e-16
0.431, -6.2803698347351e-16
0.432, 9.860761315262648e-32
0.433, 0.0
0.434, 3.1401849173675493e-16
0.435, 3.14018491736755e-16
0.436, 0.0
0.437, 0.0
0.438, 0.0
0.439, -6.280369834735099e-16
0.44, 0.0
0.441, -1.6752648189143903e-32
0.442, 0.0
0.443, -6.2803698347351e-16
0.444, 0.0
0.445, 0.0
0.446, 0.0
0.447, 0.0
0.448, 0.0
0.449, 0.0
0.45, -3.14018491736755e-16
0.451, -6.349033946264168e-33
0.452, -2.2180696109142688e-31
0.453, 0.0
0.454, 3.14018491736755e-16
0.455, 0.0
0.456, 0.0
0.457, 3.1401849173675503e-16
0.458, 0.0
0.459, 0.0
0.46, 0.0
0.461, 5.147943702008229e-32
0.462, 5.138035388541623e-32
0.463, 3.14018491736755e-16
0.464, -6.2803698347351e-16
0.465, -3.14018491736755e-16
0.466, 0.0
0.467, 4.7720490899579454e-32
0.468, 0.0
0.46900000000000003, 0.0
0.47000000000000003, 0.0
0.47100000000000003, -2.06745959378324e-31
0.47200000000000003, -6.2803698347351e-16
0.47300000000000003, -3.14018491736755e-16
0.47400000000000003, 6.2803698347351e-16
0.47500000000000003, 0.0
0.47600000000000003, 0.0
0.47700000000000004, 0.0
0.47800000000000004, -3.14018491736755e-16
0.47900000000000004, -1.0109349476762548e-31
0.48, 0.0
0.481, -8.859634655292901e-34
0.482, -6.2803698347351e-16
0.483, -4.93330458834512e-32
0.484, 0.0
0.485, 0.0
0.486, 9.860761315262648e-32
0.487, -3.14018491736755e-16
0.488, 6.2803698347351e-16
0.489, 3.14018491736755e-16
0.49, -3.14018491736755e-16
0.491, 6.2803698347351e-16
0.492, -9.694989673586463e-32
0.493, 0.0
0.494, 4.071963264067093e-33
0.495, -9.638292132114353e-32
0.496, 4.826241685205523e-33
0.497, 0.0
0.498, 0.0
0.499, 2.9767238703978553e-33
0.5, 0.0
0.501, -9.42055475210265e-16
0.502, -3.140184917367551e-16
0.503, -6.280369834735102e-16
0.504, 7.82093521994733e-33
0.505, -9.451123318918577e-32
0.506, -6.2803698347351e-16
0.507, -3.140184917367551e-16
0.508, -6.280369834735102e-16
0.509, -6.280369834735101e-16
0.51, 3.14018491736755e-16
0.511, 9.860761315262648e-32
0.512, 0.0
0.513, -6.2803698347351e-16
0.514, 0.0
0.515, -1.7345418395491885e-31
0.516, 1.2246262322724476e-32
0.517, 0.0
0.518, 0.0
0.519, -3.14018491736755e-16
0.52, 0.0
0.521, 0.0
0.522, -3.140184917367552e-16
0.523, -3.14018491736755e-16
0.524, 3.14018491736755e-16
0.525, 0.0
0.526, 0.0
0.527, 3.14018491736755e-16
0.528, 3.1401849173675503e-16
0.529, -1.6331296580742923e-31
0.53, -6.2803698347351e-16
0.531, -1.6188162284060638e-31
0.532, 1.8023826922995732e-32
0.533, -1.7883491374755456e-31
0.534, -4.087248991633861e-31
0.535, 0.0
0.536, -3.1401849173675513e-16
0.537, -3.14018491736755e-16
0.538, -8.853027882567389e-32
0.539, 0.0
0.54, 0.0
0.541, 3.1401849173675503e-16
0.542, 0.0
0.543, -3.140184917367552e-16
0.544, -8.747450445819838e-32
0.545, 0.0
0.546, 0.0
0.547, -3.14018491736755e-16
0.548, 0.0
0.549, 0.0
0.55, 9.860761315262648e-32
0.551, -8.62548727875012e-32
0.552, 0.0
0.553, -3.14018491736755e-16
0.554, 0.0
0.555, -6.2803698347351e-16
0.556, 3.140184917367554e-16
0.557, 3.1401849173675513e-16
0.558, 1.355943392462591e-32
0.559, -6.2803698347351e-16
0.56, 0.0
0.561, -3.140184917367552e-16
0.562, 3.14018491736755e-16
0.5630000000000001, 3.14018491736755e-16
0.5640000000000001, 0.0
0.5650000000000001, -8.385432127062427e-32
0.5660000000000001, 0.0
0.5670000000000001, 3.140184917367552e-16
0.5680000000000001, 9.860761315262648e-32
0.5690000000000001, 0.0
0.5700000000000001, -9.42055475210265e-16
0.5710000000000001, -9.42055475210265e-16
0.5720000000000001, 3.1868832374176877e-32
0.5730000000000001, 9.860761315262648e-32
0.5740000000000001, -1.321370037337085e-31
0.5750000000000001, 9.42055475210265e-16
0.5760000000000001, 3.3207332507052055e-32
0.577, -3.140184917367552e-16
0.578, -1.25607396694702e-15
0.579, 3.14018491736755e-16
0.58, 3.453762069256675e-32
0.581, 0.0
0.582, -1.2681583221504553e-31
0.583, 0.0
0.584, -6.2803698347351e-16
0.585, 0.0
0.586, -1.2417975093617515e-31
0.587, -6.176163524805851e-32
0.588, -6.2803698347351e-16
0.589, -4.235620540547625e-32
0.59, -6.280369834735102e-16
0.591, 9.860761315262648e-32
0.592, -3.14018491736755e-16
0.593, -3.14018491736755e-16
0.594, -3.140184917367549e-16
0.595, -6.280369834735101e-16
0.596, 0.0
0.597, 0.0
0.598, 0.0
0.599, 0.0
0.6, -3.1401849173675493e-16
0.601, 9.860761315262648e-32
0.602, 0.0
0.603, 0.0
0.604, -6.280369834735102e-16
0.605, 2.1334099949350064e-32
0.606, 0.0
